10
3 8
1 3 8 4 -3 -3 5 1
8 -2 5 5 4 -9 -8 -1
4 9 2 -1 0 4 3 2
3 8
4 0 1 -9 9 6 -5 -5
2 10 -8 6 9 -10 -3 0
9 5 -10 10 -9 -6 2 -8
3 8
-10 -5 8 1 -10 -3 -10 4
4 3 9 -6 -4 2 -3 -9
-4 7 10 3 1 5 9 1
10 10
1 2 3 4 5 6 7 8 9 10
2 2 3 4 5 6 7 8 9 10
3 2 3 4 5 6 7 8 9 10
4 2 3 4 5 6 7 8 9 10
5 2 3 4 5 6 7 8 9 10
6 2 3 4 5 6 7 8 9 10
7 2 3 4 5 6 7 8 9 10
8 2 3 4 5 6 7 8 9 10
9 2 3 4 5 6 7 8 9 10
10 2 3 4 5 6 7 8 9 10
10 10
1 2 3 4 5 6 7 8 9 10
2 2 3 4 5 6 7 8 9 10
3 2 3 4 5 6 7 8 9 10
4 2 3 4 5 6 7 8 9 10
5 2 3 4 5 6 7 8 9 10
6 2 3 4 5 6 7 8 9 10
7 2 3 4 5 6 7 8 9 10
8 2 3 4 5 6 7 8 9 10
9 2 3 4 5 6 7 8 9 10
10 2 3 4 5 6 7 8 9 10
10 10
1 2 3 4 5 6 7 8 9 10
2 2 3 4 5 6 7 8 9 10
3 2 3 4 5 6 7 8 9 10
4 2 3 4 5 6 7 8 9 10
5 2 3 4 5 6 7 8 9 10
6 2 3 4 5 6 7 8 9 10
7 2 3 4 5 6 7 8 9 10
8 2 3 4 5 6 7 8 9 10
9 2 3 4 5 6 7 8 9 10
10 2 3 4 5 6 7 8 9 10
10 10
1 2 3 4 5 6 7 8 9 10
2 2 3 4 5 6 7 8 9 10
3 2 3 4 5 6 7 8 9 10
4 2 3 4 5 6 7 8 9 10
5 2 3 4 5 6 7 8 9 10
6 2 3 4 5 6 7 8 9 10
7 2 3 4 5 6 7 8 9 10
8 2 3 4 5 6 7 8 9 10
9 2 3 4 5 6 7 8 9 10
10 2 3 4 5 6 7 8 9 10
10 10
1 2 3 4 5 6 7 8 9 10
2 2 3 4 5 6 7 8 9 10
3 2 3 4 5 6 7 8 9 10
4 2 3 4 5 6 7 8 9 10
5 2 3 4 5 6 7 8 9 10
6 2 3 4 5 6 7 8 9 10
7 2 3 4 5 6 7 8 9 10
8 2 3 4 5 6 7 8 9 10
9 2 3 4 5 6 7 8 9 10
10 2 3 4 5 6 7 8 9 10
10 10
1 1 1 1 1 1 1 1 1 1
1 2 3 4 5 6 7 8 9 10
1 2 3 4 5 6 7 8 9 10
1 2 3 4 5 6 7 8 9 10
1 2 3 4 5 6 7 8 9 10
1 2 3 4 5 6 7 8 9 10
1 2 3 4 5 6 7 8 9 10
1 2 3 4 5 6 7 8 9 10
1 2 3 4 5 6 7 8 9 10
1 1 1 1 1 1 1 1 1 1
10 10
10 9 8 7 6 5 4 3 2 10
10 9 8 7 6 5 4 3 2 9
10 9 8 7 6 5 4 3 2 8
10 9 8 7 6 5 4 3 2 7
10 9 8 7 6 5 4 3 2 6
10 9 8 7 6 5 4 3 2 5
10 9 8 7 6 5 4 3 2 4
10 9 8 7 6 5 4 3 2 3
10 9 8 7 6 5 4 3 2 2
10 9 8 7 6 5 4 3 2 1
